Title,Director,Actors,Rating,Income(万),Duration(分钟),Type
我不是药神,文牧野,"徐峥,周一围,王传君",9.6,310002,117,"剧情,喜剧"
肖申克的救赎,弗兰克·德拉邦特,"蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿",9.5,暂无,142,"剧情,犯罪"
绿皮书,彼得·法雷里,"维果·莫腾森,马赫沙拉·阿里,琳达·卡德里尼",9.5,47872,130,"剧情,喜剧,传记"
海上钢琴师,朱塞佩·托纳多雷,"蒂姆·罗斯,比尔·努恩 ,克兰伦斯·威廉姆斯三世",9.3,14376,126,"剧情,爱情,音乐"
哪吒之魔童降世,饺子,"吕艳婷,囧森瑟夫,瀚墨",9.6,503570,110,"动画,喜剧,奇幻"
霸王别姬,陈凯歌,"张国荣,张丰毅,巩俐",9.4,5,171,"剧情,爱情"
小偷家族,是枝裕和,"中川雅也,安藤樱,松冈茉优",8.1,9675,121,"剧情,犯罪"
美丽人生,罗伯托·贝尼尼,"罗伯托·贝尼尼,朱斯蒂诺·杜拉诺,赛尔乔·比尼·布斯特里克",9.3,5979,116,"战争,剧情,爱情"
这个杀手不太冷,吕克·贝松,"让·雷诺,加里·奥德曼,娜塔莉·波特曼",9.4,暂无,110,"剧情,动作,犯罪"
盗梦空间,克里斯托弗·诺兰,"莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特",9.0,49620,148,"动作,悬疑,惊悚,科幻"
阿甘正传,罗伯特·泽米吉斯,"汤姆·汉克斯,罗宾·怀特,加里·西尼斯",9.4,暂无,142,"剧情,爱情"
千与千寻,宫崎骏,"柊瑠美,周冬雨,入野自由",9.3,48828,125,"动画,冒险,奇幻,家庭"
星际穿越,克里斯托弗·诺兰,"马修·麦康纳,安妮·海瑟薇,杰西卡·查斯坦",9.3,87697,169,"剧情,科幻,冒险"
楚门的世界,彼得·威尔,"金·凯瑞,劳拉·琳妮,诺亚·艾默里奇",8.9,暂无,103,剧情
触不可及,奥利维埃·纳卡什,"弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼",9.1,暂无,112,"剧情,喜剧"
辛德勒的名单,史蒂文·斯皮尔伯格,"连姆·尼森,拉尔夫·费因斯,本·金斯利",9.2,暂无,195,"剧情,历史,战争"
情书,岩井俊二,"中山美穗,丰川悦司,酒井美纪",8.9,6521,116,"剧情,爱情"
寻梦环游记,李·昂克里奇,"安东尼·冈萨雷斯,本杰明·布拉特,盖尔·加西亚·贝纳尔",9.6,123008,105,"动画,冒险,家庭"
摔跤吧！爸爸,涅提·蒂瓦里,"阿米尔·汗,沙克希·坦沃,法缇玛·萨那·纱卡",9.8,129932,140,"喜剧,动作,家庭"
何以为家,娜丁·拉巴基,"赞恩·阿尔·拉菲亚,约丹诺斯·希费罗,博鲁瓦蒂夫·特雷杰·班科尔",9.3,37684,116,剧情
少年派的奇幻漂流,李安,"苏拉·沙玛,伊尔凡·可汗,塔布",9.0,57288,127,"剧情,奇幻,冒险"
小丑,托德·菲利普斯,"华金·菲尼克斯,罗伯特·德尼罗,亚历克·鲍德温",8.6,暂无,122,"剧情,惊悚,犯罪"
忠犬八公的故事,拉斯·霍尔斯道姆,"Forest,理查·基尔,琼·艾伦",9.2,暂无,93,剧情
怦然心动,罗伯·莱纳,"玛德琳·卡罗尔,卡兰·麦克奥利菲,艾丹•奎因",8.9,暂无,90,爱情
泰坦尼克号,詹姆斯·卡梅隆,"莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩",9.4,130615,194,"剧情,爱情,灾难"
你的名字。,新海诚,"上白石萌音,佟心竹,神木隆之介",9.2,57571,106,"爱情,动画,奇幻"
当幸福来敲门,加布里埃莱·穆奇诺,"威尔·史密斯,贾登·史密斯,坦迪·牛顿",9.3,981,117,"剧情,家庭,传记"
三傻大闹宝莱坞,拉吉库马尔·希拉尼,"阿米尔·汗,黄渤,卡琳娜·卡普",9.1,1396,171,"剧情,喜剧,冒险"
天堂电影院,朱塞佩·托纳多雷,"菲利浦·诺瓦雷,雅克·贝汉,马克·莱昂纳蒂",9.3,2000,124,"剧情,爱情"
熔炉,黄东赫,"孔刘,郑有美,金智英",8.8,暂无,125,剧情
放牛班的春天,克里斯托夫·巴拉蒂,"热拉尔·朱尼奥,让-巴蒂斯特·莫尼耶,玛丽·布奈尔",8.8,暂无,96,"剧情,喜剧,音乐"
龙猫,宫崎骏,"秦岚,糸井重里,岛本须美",9.2,17370,86,"动画,冒险,奇幻,家庭"
看不见的客人,奥里奥尔·保罗,"马里奥·卡萨斯,阿娜·瓦格纳,何塞·科罗纳多",9.4,17258,106,"犯罪,悬疑,惊悚"
教父,弗朗西斯·福特·科波拉,"马龙·白兰度,阿尔·帕西诺,詹姆斯·肯恩",9.3,暂无,175,"剧情,惊悚,犯罪"
头号玩家,史蒂文·斯皮尔伯格,"泰伊·谢里丹,奥利维亚·库克,本·门德尔森",9.0,139668,140,"动作,冒险,科幻"
被嫌弃的松子的一生,中岛哲也,"中谷美纪,永山瑛太,伊势谷友介",8.5,暂无,130,"剧情,歌舞"
活着,张艺谋,"葛优,巩俐,牛犇",9.0,暂无,132,"剧情,家庭,历史"
三块广告牌,马丁·麦克唐纳,"弗兰西斯·麦克多蒙德,伍迪·哈里森,山姆·洛克威尔",8.6,6499,115,"剧情,犯罪"
请以你的名字呼唤我,卢卡·瓜达尼诺,"提莫西·查拉梅,艾米·汉莫,迈克尔·斯图巴",8.0,暂无,132,"爱情,剧情"
死亡诗社,彼得·威尔,"罗宾·威廉姆斯,伊桑·霍克,柯特伍德·史密斯",8.7,暂无,128,剧情
闻香识女人,马丁·布莱斯特,"阿尔·帕西诺,克里斯·奥唐纳,加布里埃尔·安瓦尔",8.8,暂无,157,剧情
疯狂动物城,拜伦·霍华德,"金妮弗·古德温,杰森·贝特曼,伊德瑞斯·艾尔巴",9.5,153190,109,"动画,动作,冒险"
机器人总动员,安德鲁·斯坦顿,"本·贝尔特,艾丽莎·奈特,杰夫·格尔林",9.3,暂无,98,"喜剧,科幻,动画"
复仇者联盟4：终局之战,乔·罗素,"小罗伯特·唐尼,克里斯·埃文斯,马克·鲁法洛",9.1,425013,181,"动作,冒险,奇幻"
末代皇帝,贝纳尔多·贝托鲁奇,"尊龙,陈冲,彼得·奥图尔",8.7,暂无,163,剧情
西西里的美丽传说,朱塞佩·托纳多雷,"莫妮卡·安娜·玛丽亚·贝鲁奇,朱塞佩·苏尔法罗,玛蒂尔德·皮亚纳",8.2,暂无,109,"剧情,爱情,战争"
心灵奇旅,彼特·道格特,"杰米·福克斯,蒂娜·菲,菲利西亚·拉斯海德",9.2,37618,101,"动画,喜剧,冒险"
让子弹飞,姜文,"姜文,周润发,葛优",8.4,63675,132,"剧情,喜剧,动作,西部"
本杰明·巴顿奇事,大卫·芬奇,"布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森",8.8,暂无,166,"剧情,爱情,奇幻"
搏击俱乐部,大卫·芬奇,"爱德华·哈里森·诺顿,布拉德·皮特,海伦娜·伯翰·卡特",8.8,暂无,139,"剧情,动作,悬疑,惊悚"
阿凡达,詹姆斯·卡梅隆,"萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹",9.4,171507,162,"动作,科幻,冒险"
美国往事,赛尔乔·莱翁内,"罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文",9.0,暂无,229,"剧情,犯罪"
窃听风暴,弗洛里安·亨克尔·冯·多纳斯马尔克,"乌尔里希·穆埃,塞巴斯蒂安·科赫,马蒂娜·格德克",9.0,暂无,137,"剧情,悬疑"
飞屋环游记,彼特·道格特,"爱德华·阿斯纳,乔丹·长井,鲍勃·彼德森",8.9,7906,96,"剧情,喜剧,动画,冒险"
天使爱美丽,让-皮埃尔·热内,"奥黛丽·塔图,马修·卡索维茨,吕菲斯",8.4,暂无,122,爱情
乱世佳人,乔治·库克,"费雯·丽,克拉克·盖博,奥利维娅·德哈维兰",9.1,暂无,238,"剧情,爱情,历史,战争"
飞越疯人院,米洛斯·福尔曼,"杰克·尼科尔森,路易丝·弗莱彻,威尔·萨姆森",8.8,暂无,133,剧情
一一,杨德昌,"吴念真,金燕玲,李凯莉",8.9,暂无,173,"剧情,爱情,家庭"
美丽心灵,朗·霍华德,"罗素·克劳,詹妮弗·康纳利,艾德·哈里斯",8.8,暂无,135,"剧情,传记"
消失的爱人,大卫·芬奇,"本·阿弗莱克,裴淳华,尼尔·帕特里克·哈里斯",8.7,暂无,149,"剧情,悬疑,惊悚,犯罪"
布达佩斯大饭店,韦斯·安德森,"拉尔夫·费因斯,托尼·雷沃罗利,西尔莎·罗南",8.7,暂无,100,"剧情,喜剧,冒险"
海边的曼彻斯特,肯尼斯·罗纳根,"卡西·阿弗莱克,卢卡斯·赫奇斯,米歇尔·威廉姆斯",8.8,818,136,"剧情,家庭"
大话西游之大圣娶亲,刘镇伟,"周星驰,朱茵,莫文蔚",8.8,18683,110,"喜剧,爱情,动作,奇幻"
超脱,托尼·凯耶,"艾德里安·布洛迪,马西娅·盖伊·哈登,詹姆斯·肯恩",8.7,暂无,97,剧情
爱在黎明破晓前,理查德·林克莱特,"伊桑·霍克,朱莉·德尔佩,安德莉亚·埃克特",8.7,暂无,101,爱情
海蒂和爷爷,阿兰·葛斯彭纳,"阿努克·斯特芬 ,布鲁诺·甘茨,昆林·艾格匹",9.5,2093,111,"剧情,家庭,冒险"
蝴蝶效应,埃里克·布雷斯,"约翰·帕特里克·阿梅多利,罗根·勒曼,卡梅隆·布莱特",8.7,暂无,113,"剧情,科幻,悬疑,惊悚"
罗马假日,威廉·惠勒,"格利高里·派克,奥黛丽·赫本,埃迪·艾伯特",9.0,暂无,118,"剧情,喜剧,爱情"
低俗小说,昆汀·塔伦蒂诺,"约翰·特拉沃尔塔,乌玛·瑟曼,塞缪尔·杰克逊",8.7,暂无,154,"剧情,喜剧,犯罪"
菊次郎的夏天,北野武,"北野武,关口雄介,岸本 加世子",8.8,906,120,"剧情,喜剧"
釜山行,延尚昊,"孔刘,郑有美,马东锡",8.9,暂无,118,"动作,惊悚,灾难"
七宗罪,大卫·芬奇,"布拉德·皮特,摩根·弗里曼,格温妮斯·帕特洛",8.7,暂无,127,"剧情,悬疑,惊悚,犯罪"
春光乍泄,王家卫,"张国荣,梁朝伟,张震",9.2,暂无,96,剧情
无间道,刘伟强,"刘德华,梁朝伟,黄秋生",9.1,2,101,"剧情,犯罪"
爱在日落黄昏时,理查德·林克莱特,"伊桑·霍克,朱莉·德尔佩,弗农·多布切夫",8.7,暂无,80,"剧情,爱情"
穿条纹睡衣的男孩,马克·赫尔曼,"阿沙·巴特菲尔德,维拉·法梅加,大卫·休里斯",9.0,暂无,94,"剧情,战争"
心灵捕手,格斯·范·桑特,"罗宾·威廉姆斯,马特·达蒙,明妮·德里弗",8.4,暂无,126,剧情
重庆森林,王家卫,"梁朝伟,王菲,金城武",8.6,暂无,102,"剧情,悬疑,爱情"
剪刀手爱德华,蒂姆·波顿,"约翰尼·德普,薇诺娜·瑞德,黛安娜·维斯特",8.8,暂无,105,"剧情,爱情,奇幻"
辩护人,杨宇硕,"宋康昊,郭度沅,吴达洙",8.8,暂无,127,剧情
控方证人,比利·怀德,"泰隆·鲍华,玛琳·黛德丽,查尔斯·劳顿",8.5,暂无,116,"剧情,悬疑,犯罪"
素媛,李濬益,"李甄,薛耿求,严智苑",9.1,暂无,122,剧情
波西米亚狂想曲,布莱恩·辛格,"拉米·马雷克,本·哈迪,约瑟夫•梅泽罗",9.4,9907,134,"剧情,音乐,传记"
时空恋旅人,理查德·柯蒂斯,"瑞秋·麦克亚当斯,多姆纳尔·格里森,比尔·奈伊",8.9,暂无,123,"喜剧,爱情,奇幻"
断背山,李安,"希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯",8.9,暂无,134,"剧情,爱情,家庭"
天空之城,宫崎骏,"寺田农,鹫尾真知子,龟山助清",9.0,暂无,125,"动画,奇幻,冒险"
十二怒汉,西德尼·吕美特,"亨利·方达,李·科布,马丁·鲍尔萨姆",9.1,暂无,159,"剧情,悬疑"
两杆大烟枪,盖·里奇,"杰森·弗莱明,德克斯特·弗莱彻,杰森•斯坦森",8.7,暂无,107,"惊悚,剧情,犯罪,喜剧"
蝙蝠侠：黑暗骑士,克里斯托弗·诺兰,"克里斯蒂安·贝尔,希斯·莱杰,阿伦·伊克哈特",9.3,暂无,152,"剧情,动作,科幻,惊悚"
猫鼠游戏,史蒂文·斯皮尔伯格,"莱昂纳多·迪卡普里奥,汤姆·汉克斯,克里斯托弗·沃肯",8.6,1200,141,"剧情,传记,犯罪"
血战钢锯岭,梅尔·吉布森,"安德鲁·加菲尔德,雨果·维文,卢克·布雷西",9.3,42582,139,"剧情,战争,历史,传记"
真爱至上,理查德·柯蒂斯,"休·格兰特,比尔·奈伊,连姆·尼森",8.6,暂无,135,"剧情,喜剧,爱情"
奇迹男孩,斯蒂芬·卓博斯基,"雅各布·特瑞布雷,朱莉娅·罗伯茨,欧文·威尔逊",9.2,19151,113,"剧情,家庭"
大鱼,蒂姆·波顿,"伊万·麦克格雷格,阿尔伯特·芬尼,杰西卡·兰格",8.6,暂无,125,奇幻
钢琴家,罗曼·波兰斯基,"艾德里安·布洛迪,艾米莉娅·福克斯,米哈乌·热布罗夫斯基",8.9,暂无,150,"剧情,音乐,传记,战争"
饮食男女,李安,"郎雄,吴倩莲,杨贵媚",8.8,暂无,124,"剧情,家庭"
网络谜踪,阿尼什·查甘蒂,"约翰·赵,米切尔·拉,黛博拉·梅辛",8.6,3049,102,"剧情,悬疑,犯罪"
致命魔术,克里斯托弗·诺兰,"休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩",8.8,暂无,130,"剧情,悬疑,惊悚"
模仿游戏,莫滕·泰杜姆,"本尼迪克特·康伯巴奇,凯拉·奈特莉,马修·古迪",9.3,5247,114,"剧情,战争,传记"
禁闭岛,马丁·斯科塞斯,"莱昂纳多·迪卡普里奥,马克·鲁法洛,本·金斯利",8.7,暂无,138,"剧情,悬疑,惊悚"
